iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.7845341598286346,2.5195042666266945,0.1052389705882353,217.9843032360077,False,,,1,b330f2cd,67832a5334e54d60947925686d69e842,2023-01-22_14-51-19,1674399079,217.9843032360077,58184,ML-RefVm-847530,10.0.0.18,217.9843032360077,0,1,0.0063893795013427734
0,2.9869317681181666,2.982607000014361,0.06479779411764706,238.15195274353027,False,0,0,1,b330f2cd,67832a5334e54d60947925686d69e842,2023-01-22_15-06-58,1674400018,456.13625597953796,66797,ML-RefVm-847530,10.0.0.18,238.15195274353027,0,1,0.013806343078613281
1,2.6556885008718454,2.3646491555606617,0.17784926470588236,170.04543018341064,False,0,0,2,b330f2cd,67832a5334e54d60947925686d69e842,2023-01-22_15-09-48,1674400188,626.1816861629486,66797,ML-RefVm-847530,10.0.0.18,408.1973829269409,0,2,0.013806343078613281
2,1.9206939491571164,1.536102210774141,0.4963235294117647,162.92470002174377,True,0,0,3,b330f2cd,67832a5334e54d60947925686d69e842,2023-01-22_15-12-31,1674400351,789.1063861846924,66797,ML-RefVm-847530,10.0.0.18,571.1220829486847,0,3,0.013806343078613281
