iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.8234294349072027,2.5759505103616154,0.09834558823529412,217.88756275177002,False,,,1,6c33f4f1,709bb0cc03da45d8a636e2b18059db43,2023-01-22_14-50-53,1674399053,217.88756275177002,58182,ML-RefVm-847530,10.0.0.18,217.88756275177002,0,1,0.006310224533081055
0,2.853286126080681,2.6412481840919044,0.09099264705882353,263.65428042411804,False,0,0,1,6c33f4f1,709bb0cc03da45d8a636e2b18059db43,2023-01-22_15-04-16,1674399856,481.54184317588806,58087,ML-RefVm-847530,10.0.0.18,263.65428042411804,0,1,0.0037872791290283203
1,2.4944233894348145,2.4972980583415314,0.1567095588235294,182.34370160102844,False,0,0,2,6c33f4f1,709bb0cc03da45d8a636e2b18059db43,2023-01-22_15-07-18,1674400038,663.8855447769165,58087,ML-RefVm-847530,10.0.0.18,445.9979820251465,0,2,0.0037872791290283203
2,1.927008540022607,1.9434377656263464,0.34650735294117646,145.72271990776062,False,0,0,3,6c33f4f1,709bb0cc03da45d8a636e2b18059db43,2023-01-22_15-09-44,1674400184,809.6082646846771,58087,ML-RefVm-847530,10.0.0.18,591.7207019329071,0,3,0.0037872791290283203
