iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.778860802743949,2.5920276361353256,0.09512867647058823,137.9176516532898,False,,,1,9fe55303,ab8382fb1023443fb0f76a41902b8839,2023-01-24_18-05-54,1674583554,137.9176516532898,46846,ML-RefVm-847530,10.0.0.18,137.9176516532898,0,1,0.004946708679199219
0,2.9236346179363775,2.909627213197596,0.09834558823529412,135.84688353538513,False,0,0,1,9fe55303,ab8382fb1023443fb0f76a41902b8839,2023-01-24_18-13-37,1674584017,273.7645351886749,53007,ML-RefVm-847530,10.0.0.18,135.84688353538513,0,1,0.017252445220947266
1,2.618175698261635,2.373038516325109,0.19117647058823528,135.42924976348877,False,0,0,2,9fe55303,ab8382fb1023443fb0f76a41902b8839,2023-01-24_18-15-52,1674584152,409.1937849521637,53007,ML-RefVm-847530,10.0.0.18,271.2761332988739,0,2,0.017252445220947266
2,1.9408782884186389,1.8281207295025097,0.37316176470588236,134.74378991127014,False,0,0,3,9fe55303,ab8382fb1023443fb0f76a41902b8839,2023-01-24_18-18-07,1674584287,543.9375748634338,53007,ML-RefVm-847530,10.0.0.18,406.01992321014404,0,3,0.017252445220947266
