iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.9517603107527193,2.9584784928490135,0.07904411764705882,23.22621726989746,False,,,1,64da8e40,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_08-56-09,1674291369,23.22621726989746,10100,ML-RefVm-847530,10.0.0.18,23.22621726989746,0,1,0.003862619400024414
0,2.955830737656238,2.923534295138191,0.08272058823529412,22.261568307876587,False,0,0,1,64da8e40,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_08-57-42,1674291462,45.48778557777405,13133,ML-RefVm-847530,10.0.0.18,22.261568307876587,0,1,0.014497756958007812
1,2.771957855598599,2.6210562341353474,0.171875,20.802045106887817,False,0,0,2,64da8e40,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_08-58-02,1674291482,66.28983068466187,13133,ML-RefVm-847530,10.0.0.18,43.063613414764404,0,2,0.014497756958007812
2,2.43666859701568,2.254803348990048,0.20909926470588236,21.369734287261963,False,0,0,3,64da8e40,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_08-58-24,1674291504,87.65956497192383,13133,ML-RefVm-847530,10.0.0.18,64.43334770202637,0,3,0.014497756958007812
0,2.9563165505727134,2.9683745468364044,0.07950367647058823,18.833223342895508,False,0,0,1,64da8e40,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_09-01-15,1674291675,106.49278831481934,17033,ML-RefVm-847530,10.0.0.18,18.833223342895508,0,1,0.01401376724243164
1,2.823087720309987,2.9433029399198642,0.08915441176470588,13.767101764678955,False,0,0,2,64da8e40,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_09-01-29,1674291689,120.25989007949829,17033,ML-RefVm-847530,10.0.0.18,32.60032510757446,0,2,0.01401376724243164
2,2.634581448985081,2.5280308022218594,0.15487132352941177,13.270530939102173,False,0,0,3,64da8e40,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_09-01-42,1674291702,133.53042101860046,17033,ML-RefVm-847530,10.0.0.18,45.870856046676636,0,3,0.01401376724243164
3,2.2929361614526487,2.28098604258369,0.1957720588235294,16.671900749206543,False,0,0,4,64da8e40,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_09-01-59,1674291719,150.202321767807,17033,ML-RefVm-847530,10.0.0.18,62.54275679588318,0,4,0.01401376724243164
4,2.058683890922397,2.083778802086325,0.2881433823529412,20.006381511688232,False,0,0,5,64da8e40,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_09-02-19,1674291739,170.20870327949524,17033,ML-RefVm-847530,10.0.0.18,82.54913830757141,0,5,0.01401376724243164
5,1.8856151781830133,1.9832653929205502,0.3161764705882353,19.27256202697754,False,0,0,6,64da8e40,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_09-02-38,1674291758,189.48126530647278,17033,ML-RefVm-847530,10.0.0.18,101.82170033454895,0,6,0.01401376724243164
6,1.6927598551207899,1.8477407343247358,0.40900735294117646,11.706949472427368,False,0,0,7,64da8e40,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_09-02-50,1674291770,201.18821477890015,17033,ML-RefVm-847530,10.0.0.18,113.52864980697632,0,7,0.01401376724243164
7,1.5040402482537663,1.7769259565016802,0.43795955882352944,14.871387958526611,False,0,0,8,64da8e40,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_09-03-05,1674291785,216.05960273742676,17033,ML-RefVm-847530,10.0.0.18,128.40003776550293,0,8,0.01401376724243164
8,1.3260356024199842,1.5744720837649178,0.5335477941176471,15.749741315841675,False,0,0,9,64da8e40,86f17359a7d4495f8083fb6ed8adca3d,2023-01-21_09-03-20,1674291800,231.80934405326843,17033,ML-RefVm-847530,10.0.0.18,144.1497790813446,0,9,0.01401376724243164
