iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.9011972838757085,2.8180009898017433,0.09512867647058823,85.10972595214844,False,,,1,66d199e7,b02af74722034a9aad05fd5245296014,2023-01-23_09-38-05,1674466685,85.10972595214844,56462,ML-RefVm-847530,10.0.0.18,85.10972595214844,0,1,0.005706071853637695
0,2.8581398000904157,2.7091690372018253,0.10018382352941177,86.36303234100342,False,0,0,1,66d199e7,b02af74722034a9aad05fd5245296014,2023-01-23_09-44-19,1674467059,171.47275829315186,56393,ML-RefVm-847530,10.0.0.18,86.36303234100342,0,1,0.003528118133544922
1,2.104997840582156,1.6824175049276913,0.44255514705882354,83.89981007575989,False,0,0,2,66d199e7,b02af74722034a9aad05fd5245296014,2023-01-23_09-45-43,1674467143,255.37256836891174,56393,ML-RefVm-847530,10.0.0.18,170.2628424167633,0,2,0.003528118133544922
2,1.2941110286058164,1.18535395229564,0.6102941176470589,84.56180930137634,False,0,0,3,66d199e7,b02af74722034a9aad05fd5245296014,2023-01-23_09-47-07,1674467227,339.9343776702881,56393,ML-RefVm-847530,10.0.0.18,254.82465171813965,0,3,0.003528118133544922
