iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.919400701335832,2.9030619228587433,0.08088235294117647,39.877718687057495,False,,,1,b67ad7f5,2c0343fc35b24140a5bc4fa4952fc5e9,2023-01-23_08-33-18,1674462798,39.877718687057495,24628,ML-RefVm-847530,10.0.0.18,39.877718687057495,0,1,0.0047647953033447266
0,2.93863761658762,2.9534495297600243,0.05744485294117647,39.73904204368591,False,0,0,1,b67ad7f5,2c0343fc35b24140a5bc4fa4952fc5e9,2023-01-23_08-36-30,1674462990,79.61676073074341,28295,ML-RefVm-847530,10.0.0.18,39.73904204368591,0,1,0.012036800384521484
1,2.642764446782131,2.2727160313550163,0.21369485294117646,37.00074124336243,False,0,0,2,b67ad7f5,2c0343fc35b24140a5bc4fa4952fc5e9,2023-01-23_08-37-07,1674463027,116.61750197410583,28295,ML-RefVm-847530,10.0.0.18,76.73978328704834,0,2,0.012036800384521484
2,1.920057962922489,1.576466763720793,0.49264705882352944,37.722750425338745,False,0,0,3,b67ad7f5,2c0343fc35b24140a5bc4fa4952fc5e9,2023-01-23_08-37-45,1674463065,154.34025239944458,28295,ML-RefVm-847530,10.0.0.18,114.46253371238708,0,3,0.012036800384521484
