iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.8652888746822582,2.8322998215170467,0.11443014705882353,54.44775629043579,False,,,1,50cdbff1,2c0343fc35b24140a5bc4fa4952fc5e9,2023-01-23_08-34-13,1674462853,54.44775629043579,24628,ML-RefVm-847530,10.0.0.18,54.44775629043579,0,1,0.0047647953033447266
0,2.8714307429743746,2.842298942453721,0.0859375,38.36347150802612,False,0,0,1,50cdbff1,2c0343fc35b24140a5bc4fa4952fc5e9,2023-01-23_08-38-23,1674463103,92.81122779846191,28295,ML-RefVm-847530,10.0.0.18,38.36347150802612,0,1,0.012036800384521484
1,2.454553627500347,2.08279446293326,0.23069852941176472,30.70209288597107,False,0,0,2,50cdbff1,2c0343fc35b24140a5bc4fa4952fc5e9,2023-01-23_08-38-54,1674463134,123.51332068443298,28295,ML-RefVm-847530,10.0.0.18,69.06556439399719,0,2,0.012036800384521484
2,1.7048857936672135,1.3070198437746834,0.5822610294117647,30.276650190353394,False,0,0,3,50cdbff1,2c0343fc35b24140a5bc4fa4952fc5e9,2023-01-23_08-39-24,1674463164,153.78997087478638,28295,ML-RefVm-847530,10.0.0.18,99.34221458435059,0,3,0.012036800384521484
3,0.8977632440772711,0.7867728121140424,0.7895220588235294,34.84774994850159,False,0,0,4,50cdbff1,2c0343fc35b24140a5bc4fa4952fc5e9,2023-01-23_08-39-59,1674463199,188.63772082328796,28295,ML-RefVm-847530,10.0.0.18,134.18996453285217,0,4,0.012036800384521484
4,0.4861697601337059,0.6139542600687813,0.8373161764705882,36.43806576728821,False,0,0,5,50cdbff1,2c0343fc35b24140a5bc4fa4952fc5e9,2023-01-23_08-40-35,1674463235,225.07578659057617,28295,ML-RefVm-847530,10.0.0.18,170.62803030014038,0,5,0.012036800384521484
