iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.8975640979467654,2.91656091633965,0.07628676470588236,31.30157446861267,False,,,1,a54ef30d,a233120f53ec4b9da9f8dda676e58541,2023-01-21_18-18-03,1674325083,31.30157446861267,12499,ML-RefVm-847530,10.0.0.18,31.30157446861267,0,1,0.012894868850708008
0,2.933954033197141,3.0046864958370434,0.07123161764705882,29.721209287643433,False,0,0,1,a54ef30d,a233120f53ec4b9da9f8dda676e58541,2023-01-21_18-20-54,1674325254,61.0227837562561,15572,ML-RefVm-847530,10.0.0.18,29.721209287643433,0,1,0.019299745559692383
1,2.7045658896951115,2.5168384664198933,0.11994485294117647,29.462003707885742,False,0,0,2,a54ef30d,a233120f53ec4b9da9f8dda676e58541,2023-01-21_18-21-24,1674325284,90.48478746414185,15572,ML-RefVm-847530,10.0.0.18,59.183212995529175,0,2,0.019299745559692383
2,2.4181003757551607,2.389524445814245,0.14338235294117646,27.760664701461792,False,0,0,3,a54ef30d,a233120f53ec4b9da9f8dda676e58541,2023-01-21_18-21-51,1674325311,118.24545216560364,15572,ML-RefVm-847530,10.0.0.18,86.94387769699097,0,3,0.019299745559692383
